fleet_id,vehicle_id,current_vehicle_make,current_vehicle_model,vehicle_type,fuel_type,vehicle_age_years,purchase_year,daily_distance_km,monthly_distance_km,operating_days_per_month,average_trip_distance_km,usage_pattern,fuel_cost_monthly,maintenance_cost_monthly,vehicle_value,remaining_life_years,payload_requirement_kg,required_range_km,charging_window_hours,depot_location,ev_suitable,recommended_ev_type,electrification_priority,recommended_ev_model,estimated_annual_savings,carbon_reduction_percent,readiness_score,annual_fuel_cost,annual_maintenance_cost,total_annual_operating_cost,vehicle_replacement_priority
FLEET_328,VH_15592,Tata,Magic,Delivery Van,Diesel,3.1,2023,176.0,4576.0,26,62.0,Urban,21435.0,6930.0,529000.0,8.0,869.0,280.0,9,Delhi,True,Light Commercial,Medium,Eicher Ev,189000.0,62.0,72.0,257220.0,83160.0,340380.0,High
FLEET_361,VH_10116,Tata,Iris,Delivery Van,Diesel,3.8,2023,110.0,2640.0,24,38.0,Urban,18705.0,4208.0,887000.0,7.8,1215.0,167.0,7,Kolkata,True,Light Commercial,High,Tata Magic Ev,137000.0,48.0,77.0,224460.0,50496.0,274956.0,High
FLEET_135,VH_98912,Mahindra,Scorpio,Sedan,Diesel,5.1,2021,83.0,1909.0,23,22.0,Mixed,12381.0,3586.0,390000.0,6.6,444.0,102.0,7,Jaipur,True,Passenger,Medium,Mahindra E2O,89000.0,54.0,75.0,148572.0,43032.0,191604.0,High
FLEET_272,VH_01074,Kia,Sonet,Sedan,Petrol,1.8,2025,58.0,1334.0,23,15.0,Mixed,9260.0,2884.0,688000.0,9.8,404.0,74.0,6,Mumbai,True,Passenger,High,Tata Nexon Ev,70000.0,69.0,73.0,111120.0,34608.0,145728.0,Medium
FLEET_122,VH_37500,Atul,Shakti,Three-Wheeler,Cng,2.0,2024,31.0,806.0,26,9.0,Urban,1484.0,975.0,79000.0,8.8,260.0,60.0,6,Chennai,True,L3 Category,High,Mahindra Ev,13000.0,68.0,80.0,17808.0,11700.0,29508.0,Medium
FLEET_195,VH_01282,Bharatbenz,1917R,Heavy Commercial,Petrol,9.5,2017,276.0,7176.0,26,89.0,Mixed,67735.0,14654.0,1788000.0,2.2,9975.0,435.0,7,Pune,True,Heavy Commercial,Low,Bharatbenz Ev,535000.0,59.0,50.0,812820.0,175848.0,988668.0,Critical
FLEET_154,VH_60929,Bharatbenz,1217R,Truck,Diesel,1.3,2025,380.0,9120.0,24,157.0,Highway,74447.0,26093.0,3680000.0,9.6,8980.0,550.0,5,Jaipur,False,Heavy Commercial,Low,Eicher Ev,695000.0,44.0,43.0,893364.0,313116.0,1206480.0,Medium
FLEET_142,VH_06778,Eicher,Pro 3015,Delivery Van,Diesel,7.8,2019,176.0,4576.0,26,56.0,Mixed,22301.0,9487.0,220000.0,3.8,883.0,271.0,6,Ahmedabad,True,Light Commercial,Low,Maruti E-Eeco,196000.0,63.0,53.0,267612.0,113844.0,381456.0,Critical
FLEET_377,VH_33527,Tata,Iris,Truck,Diesel,1.7,2025,285.0,6840.0,24,98.0,Mixed,56519.0,18783.0,1801000.0,10.2,5692.0,443.0,8,Nagpur,True,Heavy Commercial,Medium,Eicher Ev,387000.0,54.0,59.0,678228.0,225396.0,903624.0,High
FLEET_352,VH_95297,Skoda,Slavia,Crossover,Diesel,2.8,2024,125.0,3000.0,24,38.0,Urban,18435.0,7250.0,1197000.0,8.4,602.0,186.0,7,Delhi,True,Passenger,High,Mercedes E-Glc,161000.0,44.0,91.0,221220.0,87000.0,308220.0,High
FLEET_121,VH_89184,Tata,Safari,Truck,Cng,2.2,2024,377.0,9802.0,26,176.0,Mixed,57926.0,23598.0,1558000.0,9.7,8108.0,550.0,8,Jaipur,True,Heavy Commercial,Medium,Ashok Leyland Ev,514000.0,65.0,67.0,695112.0,283176.0,978288.0,High
FLEET_327,VH_37347,Toyota,Fortuner,Minivan,Diesel,7.7,2019,90.0,2250.0,25,34.0,Urban,15622.0,3295.0,305000.0,4.3,791.0,137.0,10,Chennai,True,Light Commercial,Medium,Maruti E-Eeco,108000.0,51.0,73.0,187464.0,39540.0,227004.0,Critical
