vehicle_id,vehicle_model,vehicle_age_years,total_km_driven,battery_health_percent,state_of_charge_percent,charging_cycles,temperature_avg,fault_code,failure_type,remaining_useful_life,component_health_score,component_name,maintenance_type,last_service_date,service_count,repair_cost,downtime_hours,maintenance_priority,next_service_due,vehicle_risk_score,maintenance_overdue_flag,downtime_category,motor_vibration,power_consumption,brake_pad_wear,route_roughness,failure_probability,days_since_service
EV_2000,Tesla Model Y,0.5,16038,98.8636,83.2289,132,37.3265,P2_THERMAL_WARNING,Thermal Management Issue,264.7802,81.5762,Cooling System,Cooling System Repair,2026-04-02,1,39188.0,46.0,Low,2026-11-19,5.47,False,Medium,0.3227,60.1517,0.2254,0.2676,0,105
EV_2001,Kia EV6,0.5,16353,91.3243,96.3429,166,40.1243,NONE,No Failure,259.0573,75.9415,Brake System,Brake Service,2025-07-17,1,7173.0,11.0,Low,2026-12-04,9.05,True,Low,0.4956,26.3258,0.7675,0.1062,0,364
EV_2002,BYD Seal,0.5,20242,91.5012,89.4127,197,43.4612,P2_THERMAL_WARNING,Thermal Management Issue,239.7575,92.921,Cooling System,Cooling System Repair,2026-04-20,1,23599.0,28.0,Low,2026-12-26,11.61,False,Medium,1.2255,69.1048,0.2802,0.1825,0,87
EV_2003,Hyundai Kona Electric,2.9,43913,93.0996,12.2529,180,40.7812,NONE,No Failure,247.8882,24.1401,Brake System,Brake Service,2026-02-15,5,5275.0,13.0,Low,2026-11-17,12.17,False,Medium,0.2034,21.5101,0.8824,0.1181,0,151
EV_2004,Hyundai Kona Electric,0.5,20301,96.8494,93.6099,140,42.9078,NONE,No Failure,281.2823,73.7638,Electronics,Preventive Maintenance,2025-12-01,1,8427.0,9.0,Low,2026-12-23,26.38,True,Low,0.2697,78.4084,0.1242,0.1158,1,227
EV_2005,Mahindra XUV400 EV,0.5,16787,95.4908,6.2311,172,52.3068,P2_THERMAL_WARNING,Thermal Management Issue,202.6106,73.7559,Cooling System,Cooling System Repair,2025-06-06,1,16173.0,43.0,Medium,2026-09-22,16.16,True,Medium,0.4703,23.5475,0.2488,0.2658,0,405
EV_2006,Tesla Model Y,2.7,53682,92.0416,93.4796,152,41.2805,P2_THERMAL_WARNING,Thermal Management Issue,274.4843,11.1436,Brake System,Brake Service,2026-04-14,4,11716.0,10.0,Low,2026-11-10,10.21,False,Low,0.2434,21.5042,0.9949,0.1832,0,93
EV_2007,BYD Atto 3,3.3,126021,94.9888,88.0769,128,39.4771,NONE,No Failure,265.5671,94.8824,Brake System,Brake Service,2026-03-03,9,14131.0,15.0,Low,2027-01-05,10.16,False,Medium,0.3669,23.3096,0.8165,0.2587,0,135
EV_2008,Tata Nexon EV,0.5,20332,96.2168,81.9298,591,41.0534,NONE,No Failure,252.8969,80.9808,Electronics,Preventive Maintenance,2025-11-20,1,6885.0,4.0,Low,2026-11-23,28.38,True,Low,0.3499,29.1362,0.2102,0.1825,1,238
EV_2009,Tesla Model Y,0.5,11314,97.2155,5.6741,199,45.038,P1_BMS_FAULT,Battery Management System Fault,263.6446,71.1795,Battery Pack,Battery Inspection,2025-10-20,1,10911.0,8.0,Low,2026-10-28,8.38,True,Low,1.3076,28.9773,0.1612,0.1911,0,269
EV_2010,MG ZS EV,1.6,68102,90.908,88.1524,157,45.2754,NONE,No Failure,237.5627,70.303,Brake System,Brake Service,2025-06-24,3,20296.0,5.0,Low,2027-01-09,13.67,True,Low,0.3609,29.7619,0.7993,0.2406,0,387
EV_2011,Ather 450X,2.8,80174,90.6148,83.3183,190,38.5218,NONE,No Failure,203.8468,78.3855,Electronics,Preventive Maintenance,2026-01-23,6,12724.0,9.0,Low,2027-01-05,15.81,False,Low,0.486,67.4143,0.1554,0.2985,0,174
EV_2012,Kia EV6,0.5,16551,96.8283,96.1623,680,42.1895,P2_THERMAL_WARNING,Thermal Management Issue,28.6887,84.3436,Brake System,Brake Service,2025-11-29,1,5117.0,13.0,Medium,2026-08-18,27.22,True,Medium,0.2457,25.0319,0.7817,0.2136,0,229
EV_2013,Kia EV6,0.7,31178,95.9033,1.7217,188,47.6916,NONE,No Failure,281.754,84.0685,Electronics,Preventive Maintenance,2025-11-17,2,7534.0,5.0,Low,2027-01-04,8.27,True,Low,0.3527,24.8208,0.2179,0.1001,0,241
EV_2014,BYD Atto 3,1.7,43938,93.5952,93.5539,103,52.069,P0_MOTOR_FAILURE,Motor Drive Failure,235.7746,84.0321,Battery Pack,Battery Replacement,2025-10-05,5,219378.0,98.0,Medium,2026-10-11,15.16,True,High,0.4763,27.8666,0.7755,0.2175,0,284
EV_2015,Kia EV6,1.2,47274,95.9944,88.7649,167,36.3968,P2_THERMAL_WARNING,Thermal Management Issue,297.0167,71.3585,Cooling System,Cooling System Repair,2026-01-03,3,28870.0,43.0,Low,2026-12-28,4.11,True,Medium,0.4334,68.6501,0.1704,0.1469,0,194
EV_2016,MG ZS EV,0.8,19642,93.2634,84.201,192,58.9849,P0_MOTOR_FAILURE,Motor Drive Failure,248.4671,84.0172,Battery Pack,Battery Replacement,2026-03-02,2,91056.0,198.0,Medium,2026-08-31,15.33,True,High,0.2766,24.6123,0.1946,0.1704,0,136
EV_2017,Tesla Model Y,0.8,31181,96.0549,97.369,179,51.9043,NONE,No Failure,292.0982,73.9659,Electronics,Preventive Maintenance,2025-11-09,2,10122.0,9.0,Low,2026-12-10,8.73,True,Low,0.4385,27.8211,0.2281,0.8737,0,249
EV_2018,Mahindra XUV400 EV,0.5,16511,92.764,82.7047,598,38.3333,NONE,No Failure,276.5241,90.5629,Software,Software Update,2026-04-09,1,2304.0,5.0,Low,2026-12-02,6.63,False,Low,1.2724,24.881,0.2069,0.8001,0,98
EV_2019,Hyundai Kona Electric,4.2,90261,58.5435,92.9941,163,40.5652,P2_THERMAL_WARNING,Thermal Management Issue,278.2165,13.8507,Battery Pack,Battery Replacement,2026-06-06,9,54366.0,143.0,Medium,2026-09-22,21.32,False,High,0.3592,76.2725,0.2831,0.2386,0,40
EV_2020,MG ZS EV,0.5,13710,98.8497,99.2641,120,63.6849,P0_MOTOR_FAILURE,Motor Drive Failure,205.8868,84.2037,Battery Pack,Battery Replacement,2025-11-27,1,176485.0,75.0,Medium,2026-09-21,18.29,True,High,0.4158,20.0614,0.9029,0.2505,0,231
EV_2021,Hyundai Ioniq 5,1.3,31888,93.0546,17.4585,126,46.2853,P0_MOTOR_FAILURE,Motor Drive Failure,204.8655,79.6777,Battery Pack,Battery Replacement,2025-07-12,3,153027.0,103.0,Medium,2026-09-23,15.74,True,High,1.9709,24.4395,0.2788,0.163,0,369
EV_2022,Tesla Model S,0.5,8672,94.9315,81.3323,180,35.7925,NONE,No Failure,214.8387,87.7283,Brake System,Brake Service,2025-07-14,1,20130.0,15.0,Low,2026-11-30,10.36,True,Medium,0.2365,22.3086,0.9404,0.2467,0,367
EV_2023,Ola S1 Pro,1.6,25432,92.4343,88.0512,129,46.2866,P2_THERMAL_WARNING,Thermal Management Issue,231.9311,72.6393,Cooling System,Cooling System Repair,2026-02-26,3,20517.0,24.0,Low,2026-12-16,13.99,False,Medium,0.4156,78.0928,0.1184,0.2889,0,140
EV_2024,Kia EV6,2.0,50789,92.223,81.1222,184,58.9313,NONE,No Failure,251.5126,99.0029,Software,Software Update,2026-02-07,4,8689.0,6.0,Low,2026-12-01,16.63,False,Low,1.6075,22.365,0.112,0.2537,0,159
